 id , timestamp , ax , ay , az , gx , gy , gz , mx , my , mz , t , p , h , l , n 
CISS_1_244B2207551B8950,1573311895969,,,,,,,,,,26.9,,,,
CISS_1_244B2207551B8950,1573311895969,,,,,,,,,,,,47.82,,
CISS_1_244B2207551B8950,1573311895969,,,,,,,,,,,1006.26,,,
CISS_1_244B2207551B8950,1573311895969,,,,,,,,,,,,,0,
CISS_1_244B2207551B8950,1573311895982,622,-509,-536,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311895982,,,,,,,9,-42,68,,,,,
CISS_1_244B2207551B8950,1573311895982,,,,153,-20,-4,,,,,,,,
CISS_1_244B2207551B8950,1573311896084,583,-644,-527,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311896084,,,,,,,10,-33,84,,,,,
CISS_1_244B2207551B8950,1573311896084,,,,73,-8,3,,,,,,,,
CISS_1_244B2207551B8950,1573311896180,589,-679,-429,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311896181,,,,,,,8,-24,90,,,,,
CISS_1_244B2207551B8950,1573311896181,,,,36,-3,5,,,,,,,,
CISS_1_244B2207551B8950,1573311896279,577,-704,-331,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311896281,,,,,,,12,-18,95,,,,,
CISS_1_244B2207551B8950,1573311896281,,,,115,-12,0,,,,,,,,
CISS_1_244B2207551B8950,1573311896379,562,-796,-224,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311896380,,,,,,,12,-8,98,,,,,
CISS_1_244B2207551B8950,1573311896381,,,,98,-2,-9,,,,,,,,
CISS_1_244B2207551B8950,1573311896478,569,-823,-144,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311896479,,,,,,,11,-2,100,,,,,
CISS_1_244B2207551B8950,1573311896480,,,,29,17,-4,,,,,,,,
CISS_1_244B2207551B8950,1573311896578,569,-808,-15,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311896579,,,,,,,14,3,103,,,,,
CISS_1_244B2207551B8950,1573311896579,,,,46,14,1,,,,,,,,
CISS_1_244B2207551B8950,1573311896678,599,-841,21,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311896679,,,,,,,8,8,104,,,,,
CISS_1_244B2207551B8950,1573311896679,,,,67,15,3,,,,,,,,
CISS_1_244B2207551B8950,1573311896777,528,-886,31,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311896778,,,,,,,8,15,104,,,,,
CISS_1_244B2207551B8950,1573311896779,,,,18,-4,4,,,,,,,,
CISS_1_244B2207551B8950,1573311896877,548,-845,109,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311896878,,,,,,,8,19,104,,,,,
CISS_1_244B2207551B8950,1573311896878,,,,8,6,-9,,,,,,,,
